id	nev	helyezes	ev	helyszin
222	Németország	1	1990	Olaszország
223	Olaszország	1	1934	Olaszország
224	Argentína	2	1990	Olaszország
225	Csehszlovákia	2	1934	Olaszország
226	Németország	3	1934	Olaszország
227	Olaszország	3	1990	Olaszország
228	Anglia	4	1990	Olaszország
229	Ausztria	4	1934	Olaszország
230	Bulgária	4	1990	Olaszország
231	Jugoszlávia	5	1990	Olaszország
232	Spanyolország	5	1934	Olaszország
233	Csehszlovákia	6	1990	Olaszország
234	Magyarország	6	1934	Olaszország
235	Kamerun	7	1990	Olaszország
236	Svájc	7	1934	Olaszország
237	Írország	8	1990	Olaszország
238	Svédország	8	1934	Olaszország
239	Argentína	9	1934	Olaszország
240	Brazília	9	1990	Olaszország
241	Franciaország	9	1934	Olaszország
242	Hollandia	9	1934	Olaszország
243	Spanyolország	10	1990	Olaszország
244	Belgium	11	1990	Olaszország
245	Románia	12	1934	Olaszország
246	Románia	12	1990	Olaszország
247	Costa Rica	13	1990	Olaszország
248	Egyiptom	13	1934	Olaszország
249	Brazília	14	1934	Olaszország
250	Kolumbia	14	1990	Olaszország
251	Belgium	15	1934	Olaszország
252	Hollandia	15	1990	Olaszország
253	Egyesült Államok	16	1934	Olaszország
254	Uruguay	16	1990	Olaszország
255	Szovjetunió	17	1990	Olaszország
256	Ausztria	18	1990	Olaszország
257	Skócia	18	1990	Olaszország
258	Egyiptom	20	1990	Olaszország
259	Svédország	21	1990	Olaszország
260	Koreai Közt	22	1990	Olaszország
261	Egyesült Államok	23	1990	Olaszország
262	Arab Emírségek	24	1990	Olaszország
263	Olaszország	1	1982	Spanyolország
264	Németország	2	1982	Spanyolország
265	Lengyelország	3	1982	Spanyolország
266	Franciaország	4	1982	Spanyolország
267	Brazília	5	1982	Spanyolország
268	Anglia	6	1982	Spanyolország
269	Szovjetunió	7	1982	Spanyolország
270	Ausztria	8	1982	Spanyolország
271	Peru	8	1982	Spanyolország
272	Észak-Írország	9	1982	Spanyolország
273	Belgium	10	1982	Spanyolország
274	Argentína	11	1982	Spanyolország
275	Spanyolország	12	1982	Spanyolország
276	Magyarország	14	1982	Spanyolország
277	Skócia	15	1982	Spanyolország
278	Jugoszlávia	16	1982	Spanyolország
279	Kamerun	17	1982	Spanyolország
280	Honduras	18	1982	Spanyolország
281	Csehszlovákia	19	1982	Spanyolország
282	Kuvait	21	1982	Spanyolország
283	Chile	22	1982	Spanyolország
284	Új-Zéland	23	1982	Spanyolország
285	Salvador	24	1982	Spanyolország
286	Németország	1	1954	Svájc
287	Magyarország	2	1954	Svájc
288	Ausztria	3	1954	Svájc
289	Uruguay	4	1954	Svájc
290	Svájc	5	1954	Svájc
291	Brazília	6	1954	Svájc
292	Anglia	7	1954	Svájc
293	Jugoszlávia	8	1954	Svájc
294	Franciaország	9	1954	Svájc
295	Törökország	10	1954	Svájc
296	Olaszország	11	1954	Svájc
297	Belgium	12	1954	Svájc
298	Mexikó	13	1954	Svájc
299	Csehszlovákia	14	1954	Svájc
300	Skócia	15	1954	Svájc
301	Koreai Közt	16	1954	Svájc
302	Brazília	1	1958	Svédország
303	Svédország	2	1958	Svédország
304	Franciaország	3	1958	Svédország
305	Németország	4	1958	Svédország
306	Jugoszlávia	5	1958	Svédország
307	Wales	5	1958	Svédország
308	Szovjetunió	6	1958	Svédország
309	Észak-Írország	7	1958	Svédország
310	Csehszlovákia	9	1958	Svédország
311	Magyarország	10	1958	Svédország
312	Anglia	11	1958	Svédország
313	Paraguay	12	1958	Svédország
314	Argentína	13	1958	Svédország
315	Skócia	14	1958	Svédország
316	Ausztria	15	1958	Svédország
317	Mexikó	16	1958	Svédország
318	Uruguay	1	1930	Uruguay
319	Argentína	2	1930	Uruguay
320	Egyesült Államok	3	1930	Uruguay
321	Jugoszlávia	4	1930	Uruguay
322	Chile	5	1930	Uruguay
323	Brazília	6	1930	Uruguay
324	Franciaország	7	1930	Uruguay
325	Románia	8	1930	Uruguay
326	Paraguay	9	1930	Uruguay
327	Peru	10	1930	Uruguay
328	Belgium	11	1930	Uruguay
329	Bolívia	12	1930	Uruguay
330	Mexikó	13	1930	Uruguay
